steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8
0.0,20.847049713134766,31.186037063598633,30.737152099609375,37.70793151855469,24.342971801757812,20.958065032958984,25.514204025268555,27.895652770996094,36.572052001953125
10526315.789473685,21.73776286676361,31.888743055881186,31.563784922816254,37.76925678260191,25.324059871167275,21.716322589892677,25.39744032365773,28.79916788767662,36.75249619570424
21052631.57894737,38.6668795700136,43.50258156789307,45.206713669786325,38.83683995207013,43.578550185337456,35.26517096316633,24.786262756342538,44.67451286792673,40.7280441575227
31578947.368421055,54.186279727987056,46.17630919239322,45.82498732711759,41.09457632113981,58.949679412277945,44.87577124754189,34.65500931053776,55.10383934904293,52.0006182319446
42105263.15789474,51.072236713156144,59.59124884768866,55.2024293352032,51.65292352000432,61.25064449825445,62.51477548059004,34.76674552571411,73.68454259683551,72.87392466335746
52631578.94736842,60.08391214162111,56.55024485055801,65.34569934997037,55.946558688073274,65.83355406533482,101.58763396851408,46.98850107333337,72.35472898816798,87.61013979421428
63157894.73684211,65.31163340245587,77.11580348175815,67.57414572345417,59.76079553208854,67.66410275270074,407.516379818362,54.215278942519774,62.00160569105286,166.50255946753109
73684210.5263158,67.04883515135157,84.22380141752909,73.69364237413843,67.83337679761269,62.92909163277895,937.9972186834858,54.534974727862185,112.8123646983439,542.6408113794316
84210526.31578948,82.72399715389902,84.84820997781041,113.01001889339115,69.05065494082311,86.89633498759812,974.6999515470045,58.05244372871774,511.1695076597035,932.6579838380259
94736842.10526316,132.75223922933816,486.91532410838107,515.7603199159175,74.94073562930826,140.60604945448463,981.4404146611855,67.12057542363362,909.9402552303185,960.3494909319851
105263157.89473684,596.7071974483883,921.946622904648,928.8589867303906,76.12583584823437,243.259265999302,985.0905278419193,76.04146814874665,952.6884114705955,968.6130581120044
115789473.68421052,949.0116842871228,973.8058002865215,973.0748269868359,69.32428303812927,677.0486271752874,986.1445331084761,164.18685851821937,958.1383206297817,970.864829806905
126315789.47368422,973.2662642867281,980.7362025444528,981.0550786491247,82.18158753468062,930.4711121541973,986.8927335706114,701.8718392792839,965.3842093231275,974.282331155608
136842105.2631579,978.6181972753308,983.2517965310499,874.2147067108311,80.62097089686056,957.1604594641115,987.8200480652317,957.9391812579784,970.0452607219569,976.734112144177
147368421.0526316,982.9138021138897,983.9663562593038,953.8354368573082,77.3246294846165,967.1150977198768,987.5661486882582,974.7359976458088,974.7897872749788,977.534793033164
157894736.84210527,978.8568358635969,983.2825598444305,984.1586365324969,100.3102119397011,966.4959297313915,987.8184926955654,982.0718041546127,977.829929603434,979.6496179557903
168421052.63157895,983.6983629792021,984.985393304904,983.7910934062546,131.57552234353784,979.4941386595327,988.6024865311599,984.7355654074545,978.6215295870878,980.3238999929455
178947368.42105263,986.8890629174637,985.6364824979919,985.8997159066953,115.99259704219337,984.090374260728,989.449935329753,987.4019178827383,976.4887580949184,981.396366904482
189473684.21052632,981.5101090514429,986.252963145684,987.8375137899061,305.9944177015667,986.0161337446308,991.3253377950092,984.8352349497935,979.0526227300517,983.3706042826011
200000000.0,986.1124295247229,986.9550170898438,983.585523401436,694.7225536421726,987.4849582973279,990.1524130952986,987.2755318095809,972.1455897971204,985.0451119730348
