steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12
0.0,0.7939453125,0.8173828125,0.951171875,0.5849609375,0.8955078125,0.7998046875,0.9228515625,0.935546875,0.9375,0.873046875,0.8466796875,0.9111328125,0.8037109375
10526315.789473685,0.8056291992314304,0.8276823524623036,0.9538851946674886,0.6084948325751561,0.9014328166718628,0.8111009571360749,0.9272260982904408,0.9391461765997298,0.9410439277289647,0.8802454781994595,0.8553180113393514,0.9161718347396216,0.8147857116530146
21052631.57894737,1.0,0.9991341852415302,0.9990234375,0.9998892522584698,1.0,0.9990234375,0.9998892522584698,0.9991341852415302,1.0,1.0,0.9989126897584698,1.0,0.9988019420169397
31578947.368421055,1.0,1.0,0.9991895591122952,0.9991895591122952,1.0,0.9988573158877048,0.9990234375,1.0,1.0,1.0,0.9983791182245905,1.0,0.9974025557245905
42105263.15789474,1.0,1.0,1.0,0.9997785045169397,1.0,0.9982683704830603,0.9992449329830603,0.9997785045169397,0.9997785045169397,1.0,1.0,1.0,0.9992449329830603
52631578.94736842,1.0,1.0,1.0,0.9993003068538253,1.0,0.9993003068538253,1.0,0.9993003068538253,0.9993003068538253,1.0,1.0,1.0,1.0
63157894.73684211,1.0,1.0,0.9996677567754095,1.0,1.0,0.9996677567754095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73684210.5263158,1.0,1.0,0.9994110545953555,1.0,1.0,0.9994110545953555,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84210526.31578948,1.0,1.0,1.0,1.0,1.0,1.0,0.9995570090338795,1.0,1.0,1.0,1.0,1.0,1.0
94736842.10526316,1.0,1.0,1.0,1.0,1.0,1.0,0.9995218023368857,1.0,1.0,1.0,1.0,1.0,1.0
105263157.89473684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115789473.68421052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126315789.47368422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136842105.2631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147368421.0526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157894736.84210527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168421052.63157895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178947368.42105263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
189473684.21052632,1.0,1.0,1.0,1.0,1.0,1.0,0.9990436046737713,1.0,1.0,1.0,1.0,1.0,1.0
200000000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
